,DEPARTURES_PERFORMED,PASSENGERS,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,AIRCRAFT_TYPE,MONTH
19602,6,471,3681,AA,American Airlines Inc.,AA,American Airlines Inc.,14100,PHL,13156,MAD,887,3
19613,6,117,771,MQ,Envoy Air,MQ,Envoy Air,11298,DFW,14879,SLP,673,3
19629,6,517,1316,CM,Compania Panamena (Copa),CM,Compania Panamena (Copa),15304,TPA,14286,PTY,614,1
19630,6,377,730,9E,Endeavor Air Inc.,9E,Endeavor Air Inc.,11534,ELH,10397,ATL,631,4
19632,6,1427,3867,SK,Scandinavian Airlines Sys.,SK,Scandinavian Airlines Sys.,11118,CPH,11618,EWR,696,4
19633,6,1253,3867,SK,Scandinavian Airlines Sys.,SK,Scandinavian Airlines Sys.,11618,EWR,11118,CPH,696,4
19673,6,937,1012,NK,Spirit Air Lines,NK,Spirit Air Lines,13495,MSY,14681,SAP,694,4
19703,6,775,1476,UA,United Air Lines Inc.,UA,United Air Lines Inc.,12990,LIR,12266,IAH,888,5
19705,6,1459,5062,UA,United Air Lines Inc.,UA,United Air Lines Inc.,11625,EZE,12266,IAH,889,5
19716,6,957,4523,UA,United Air Lines Inc.,UA,United Air Lines Inc.,13560,MXP,13930,ORD,889,5
19734,6,775,4272,SK,Scandinavian Airlines Sys.,SK,Scandinavian Airlines Sys.,10357,ARN,13930,ORD,696,1
19738,6,257,995,WO,SWOOP Inc.,WO,SWOOP Inc.,16078,YHM,14761,SFB,614,1
19740,6,691,1000,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,12191,HOU,14832,SJD,614,1
19741,6,945,1000,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,14832,SJD,12191,HOU,614,1
19750,6,651,4649,AC,Air Canada,AC,Air Canada,16271,YYZ,12173,HNL,889,1
19753,6,637,5457,FJ,Air Pacific Ltd.,FJ,Air Pacific Ltd.,14771,SFO,13602,NAN,687,1
19815,6,879,3674,UA,United Air Lines Inc.,UA,United Air Lines Inc.,13930,ORD,11435,DUB,622,3
19822,6,1611,3649,UA,United Air Lines Inc.,UA,United Air Lines Inc.,11618,EWR,10920,CDG,637,3
19823,6,1307,5699,UA,United Air Lines Inc.,UA,United Air Lines Inc.,11760,FRA,14771,SFO,637,3
19828,6,541,2082,AV,Aerovias Nacl De Colombia,AV,Aerovias Nacl De Colombia,11164,CTG,12478,JFK,694,3
19830,6,461,5160,NH,All Nippon Airways Co.,NH,All Nippon Airways Co.,12169,HND,14771,SFO,637,3
19883,6,1203,4914,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,10397,ATL,15566,VCE,626,5
19887,6,943,3766,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,11433,DTW,12972,LHR,687,5
19899,6,1,4332,5Y,Atlas Air Inc.,5Y,Atlas Air Inc.,14512,RFD,12125,HHN,819,4
19925,6,1863,4401,KL,Klm Royal Dutch Airlines,KL,Klm Royal Dutch Airlines,10292,AMS,10397,ATL,627,5
19971,6,733,4686,LO,Polskie Linie Lotnicze,LO,Polskie Linie Lotnicze,13930,ORD,15718,WAW,887,1
19981,6,161,549,WS,Westjet,WS,Westjet,14057,PDX,16257,YYC,482,1
19993,6,337,3622,FI,Icelandair,FI,Icelandair,14747,SEA,12651,KEF,838,1
20002,6,525,1362,WO,SWOOP Inc.,WO,SWOOP Inc.,10466,AZA,16232,YWG,614,2
20015,6,463,1534,UA,United Air Lines Inc.,UA,United Air Lines Inc.,11868,GCM,11618,EWR,888,2
