DEPARTURES_PERFORMED,PASSENGERS,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,AIRCRAFT_TYPE,MONTH
7,575,1421,AA,American Airlines Inc.,AA,American Airlines Inc.,10721,BOS,14153,PLS,614,1
7,769,1421,AA,American Airlines Inc.,AA,American Airlines Inc.,14153,PLS,10721,BOS,614,1
7,1065,1700,AA,American Airlines Inc.,AA,American Airlines Inc.,12990,LIR,11298,DFW,614,1
7,923,1706,AA,American Airlines Inc.,AA,American Airlines Inc.,10411,AUA,11057,CLT,699,1
7,783,1706,AA,American Airlines Inc.,AA,American Airlines Inc.,11057,CLT,10411,AUA,699,1
7,815,1918,AA,American Airlines Inc.,AA,American Airlines Inc.,11057,CLT,14832,SJD,699,1
7,1154,1918,AA,American Airlines Inc.,AA,American Airlines Inc.,14832,SJD,11057,CLT,699,1
7,514,1611,AA,American Airlines Inc.,AA,American Airlines Inc.,13303,MIA,10575,BGI,838,1
7,794,1611,AA,American Airlines Inc.,AA,American Airlines Inc.,10575,BGI,13303,MIA,838,1
7,257,823,YV,Mesa Airlines Inc.,YV,Mesa Airlines Inc.,13594,MZT,12266,IAH,673,1
7,611,1693,B6,JetBlue Airways,B6,JetBlue Airways,13180,MBJ,10721,BOS,694,2
7,910,600,B6,JetBlue Airways,B6,JetBlue Airways,12693,KIN,11697,FLL,694,2
7,902,600,B6,JetBlue Airways,B6,JetBlue Airways,11697,FLL,12693,KIN,694,2
7,823,1693,B6,JetBlue Airways,B6,JetBlue Airways,10721,BOS,13180,MBJ,694,2
7,888,2627,B6,JetBlue Airways,B6,JetBlue Airways,12892,LAX,12990,LIR,699,2
7,762,2627,B6,JetBlue Airways,B6,JetBlue Airways,12990,LIR,12892,LAX,699,2
7,633,1806,B6,JetBlue Airways,B6,JetBlue Airways,11697,FLL,15455,UIO,721,2
7,582,1806,B6,JetBlue Airways,B6,JetBlue Airways,15455,UIO,11697,FLL,721,2
7,0,1288,FX,Federal Express Corporation,FX,Federal Express Corporation,13244,MEM,11874,GDL,626,2
